author,title,page_count,rating,ratingCount,firstPub_year,ogPub_year,Binding,language,followers,review_counts,Publisher,genres
Suzanne Collins,"The Hunger Games (The Hunger Games, #1)",374,4.32,7205530,2008,2008,Hardcover,English,"88,797",181917,ScholasticPress,"['Young Adult', 'Fiction', 'Science Fiction', 'Dystopia', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Young Adult', 'Teen', 'Apocalyptic', 'Post Apocalyptic', 'Action']"
J.K. Rowling,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",870,4.50,2861207,2003,2004,Paperback,English,"217,518",49869,ScholasticInc.,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Childrens', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']"
Harper Lee,To Kill a Mockingbird,336,4.27,5138618,1960,2006,Paperback,English,"12,232",100782,HarperPerennialModernClassics,"['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Academic', 'School', 'Literature', 'Young Adult', 'Historical', 'Academic', 'Read For School', 'Novels', 'Young Adult', 'High School']"
Jane Austen,Pride and Prejudice,279,4.27,3493187,1813,2000,Paperback,English,"55,256",82778,ModernLibrary,"['Classics', 'Fiction', 'Romance', 'Historical', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'Romance', 'Historical Romance', 'Audiobook', 'Adult']"
Stephenie Meyer,"Twilight (The Twilight Saga, #1)",498,3.62,5605889,2005,2006,Paperback,English,"68,743",112751,"Little,BrownandCompany","['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Paranormal', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Fantasy', 'Supernatural', 'Fantasy', 'Urban Fantasy', 'Young Adult', 'Teen']"
Markus Zusak,The Book Thief,552,4.38,2114748,2005,2006,Hardcover,English,"36,691",123598,AlfredA.Knopf,"['Historical', 'Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War', 'World War II', 'Holocaust', 'War', 'World War II', 'Writing', 'Books About Books', 'Audiobook']"
George Orwell,Animal Farm,141,3.97,3173093,1945,1996,Mass Market Paperback,English,"37,706",69223,SignetClassics,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Fantasy', 'Literature', 'Politics', 'Academic', 'School', 'Science Fiction', 'Novels', 'Academic', 'Read For School']"
C.S. Lewis,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",767,4.26,576593,1956,2014,Paperback,English,"36,934",11158,HarperCollins,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Christian', 'Adventure', 'Childrens', 'Middle Grade', 'Science Fiction Fantasy', 'Christian Fiction']"
,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lor…,,,,,,,,,,,
John Green,The Fault in Our Stars,313,4.17,4187715,,,,,,,,
Margaret Mitchell,Gone with the Wind,1037,4.30,1139634,1936,1999,Mass Market Paperback,English,"2,741",21481,WarnerBooks,"['Classics', 'Historical', 'Historical Fiction', 'Fiction', 'Romance', 'Historical', 'War', 'Literature', 'Military History', 'Civil War', 'Romance', 'Historical Romance', 'Novels']"
Douglas Adams,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",193,4.22,1605747,1979,2007,Paperback,English,"20,563",35180,DelRey,"['Science Fiction', 'Fiction', 'Humor', 'Classics', 'Fantasy', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'Adventure', 'Novels']"
,The Giving Tree,,,,,,,,,,,
Emily Brontë,Wuthering Heights,464,3.87,1520892,1847,2002,Paperback,English,"9,495",44971,Norton,"['Classics', 'Fiction', 'Romance', 'Gothic', 'Literature', 'Historical', 'Historical Fiction', 'Literature', '19th Century', 'Novels', 'Historical', 'Classics', 'Classic Literature']"
Oscar Wilde,The Picture of Dorian Gray,272,4.10,1155478,1890,2004,Paperback,English,"29,515",41131,RandomHouse:ModernLibrary,"['Classics', 'Fiction', 'Horror', 'Fantasy', 'Gothic', 'Literature', 'Novels', 'Literature', '19th Century', 'LGBT', 'Classics', 'Classic Literature']"
Dan Brown,"The Da Vinci Code (Robert Langdon, #2)",489,3.88,2113017,2003,2006,Paperback,English,"92,733",50018,Anchor,"['Fiction', 'Mystery', 'Thriller', 'Thriller', 'Mystery Thriller', 'Suspense', 'Historical', 'Historical Fiction', 'Adventure', 'Novels', 'Mystery', 'Crime', 'Adult']"
Charlotte Brontë,Jane Eyre,532,4.14,1812868,1847,2003,Paperback,English,"14,184",49600,Penguin,"['Classics', 'Fiction', 'Romance', 'Historical', 'Historical Fiction', 'Gothic', 'Literature', 'Historical', 'Literature', '19th Century', 'Academic', 'School', 'Novels']"
Arthur Golden,Memoirs of a Geisha,503,4.13,1837849,1997,2005,Mass Market Paperback,English,"2,412",32205,VintageBooksUSA,"['Fiction', 'Historical', 'Historical Fiction', 'Romance', 'Historical', 'Classics', 'Cultural', 'Japan', 'Adult', 'Novels', 'Cultural', 'Asia', 'Adult Fiction']"
