author,title,page_count,rating,ratingCount,firstPub_year,ogPub_year,Binding,language,followers,review_counts,Publisher,genres
Suzanne Collins,"The Hunger Games (The Hunger Games, #1)",374,4.32,7208164,2008,2008,Hardcover,English,"88,818",181983,ScholasticPress,Young Adult
J.K. Rowling,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",870,4.5,2861900,2003,2004,Paperback,English,"217,573",49921,ScholasticInc.,Fantasy
Harper Lee,To Kill a Mockingbird,336,4.27,5140956,1960,2006,Paperback,English,"12,234",100834,HarperPerennialModernClassics,Classics
Jane Austen,Pride and Prejudice,279,4.28,3495274,1813,2000,Paperback,English,"55,282",82868,ModernLibrary,Classics
Stephenie Meyer,"Twilight (The Twilight Saga, #1)",498,3.62,5608047,2005,2006,Paperback,English,"68,765",112802,"Little,BrownandCompany",Fantasy
Markus Zusak,The Book Thief,552,4.38,2115257,2005,2006,Hardcover,English,"36,700",123682,AlfredA.Knopf,Historical
George Orwell,Animal Farm,141,3.97,3174022,1945,1996,Mass Market Paperback,English,"37,720",69308,SignetClassics,Classics
C.S. Lewis,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",767,4.26,576298,1956,2014,Paperback,English,"36,949",11166,HarperCollins,Fantasy
,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lor…,,,,,,,,,,,
John Green,The Fault in Our Stars,313,4.17,4190236,,,,,,,,
Margaret Mitchell,Gone with the Wind,1037,4.3,1139249,1936,1999,Mass Market Paperback,English,"2,741",21488,WarnerBooks,Classics
Douglas Adams,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",193,4.22,1605440,1979,2007,Paperback,English,"20,566",35198,DelRey,Science Fiction
Shel Silverstein,The Giving Tree,64,4.37,1000285,1964,1964,Hardcover,English,"9,030",19568,HarperCollinsPublishers,Childrens
Emily Brontë,Wuthering Heights,464,3.87,1521244,1847,2002,Paperback,English,"9,498",45035,Norton,Classics
Oscar Wilde,The Picture of Dorian Gray,272,4.1,1156004,1890,2004,Paperback,English,"29,541",41205,RandomHouse:ModernLibrary,Classics
,"The Da Vinci Code (Robert Langdon, #2)",,,,,,,,,,,
Charlotte Brontë,Jane Eyre,532,4.14,1813127,1847,2003,Paperback,English,"14,189",49650,Penguin,Classics
Arthur Golden,Memoirs of a Geisha,503,4.13,1838052,1997,2005,Mass Market Paperback,English,"2,413",32215,VintageBooksUSA,Fiction
,Alice's Adventures in Wonderland / Through the Looking-…,,,,,,,,,,,
,The Perks of Being a Wallflower,,,,,,,,,,,
J.K. Rowling,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",309,4.48,8262345,1997,2003,Hardcover,English,"217,573",130154,ScholasticInc,Fantasy
,Fahrenheit 451,,,,,,,,,,,
Victor Hugo,Les Misérables,1463,4.19,731362,1862,1987,Mass Market Paperback,English,"10,724",19332,Penguin,Classics
Veronica Roth,"Divergent (Divergent, #1)",487,4.17,3347034,2011,2012,Paperback,English,"458,957",112334,KatherineTegenBooks,Young Adult
F. Scott Fitzgerald,The Great Gatsby,200,3.93,4325569,1925,2004,Paperback,English,"21,180",79439,Scribner,Classics
Paulo Coelho,The Alchemist,182,3.89,2459445,1988,2014,Paperback,English,"126,381",94337,HarperOne,Fiction
,Crime and Punishment,,,,,,,,,,,
